DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
26-Aug-2025,EQ,"814.85","815.85","806.75","816.45","808.40","807.85","810.30","875.45","680.00",6997817,"5,67,03,32,537.10",127200
25-Aug-2025,EQ,"817.45","820.50","814.20","816.25","816.50","816.45","817.57","875.45","680.00",5672898,"4,63,79,81,705.05",176881
22-Aug-2025,EQ,"824.00","826.00","815.70","825.70","816.80","816.25","819.33","875.45","680.00",5097647,"4,17,66,41,494.85",141389
21-Aug-2025,EQ,"828.95","833.25","824.05","828.95","824.05","825.70","828.67","875.45","680.00",4402511,"3,64,82,16,255.50",108762
20-Aug-2025,EQ,"828.70","831.90","827.40","830.40","828.90","828.95","829.56","875.45","680.00",4493888,"3,72,79,70,038.65",89785
19-Aug-2025,EQ,"827.50","831.00","825.80","827.65","829.15","830.40","829.06","875.45","680.00",5076681,"4,20,88,57,802.10",110280
18-Aug-2025,EQ,"836.00","838.00","825.15","826.55","826.20","827.65","829.82","875.45","680.00",6138124,"5,09,35,38,559.75",136179
14-Aug-2025,EQ,"822.00","828.00","819.10","821.85","825.50","826.55","826.02","875.45","680.00",7087573,"5,85,44,78,307.95",152716
13-Aug-2025,EQ,"822.65","824.95","820.65","820.60","821.55","821.85","822.38","875.45","680.00",4447508,"3,65,75,29,878.05",85625
12-Aug-2025,EQ,"824.95","825.50","820.00","823.45","821.10","820.60","823.09","875.45","680.00",7986728,"6,57,37,58,560.40",224361
11-Aug-2025,EQ,"808.00","825.00","808.00","804.30","820.80","823.45","820.82","875.45","680.00",15236297,"12,50,62,19,350.05",287439
08-Aug-2025,EQ,"805.00","807.80","790.00","805.15","802.50","804.30","801.59","875.45","680.00",15708181,"12,59,15,58,509.55",277397
07-Aug-2025,EQ,"801.10","806.65","793.40","805.15","805.60","805.15","799.81","875.45","680.00",7091392,"5,67,17,67,724.35",134092
06-Aug-2025,EQ,"800.95","810.20","799.00","800.60","804.80","805.15","804.39","875.45","680.00",7409396,"5,96,00,18,370.35",120510
05-Aug-2025,EQ,"798.00","804.05","796.30","795.70","800.50","800.60","800.20","875.45","680.00",7381537,"5,90,66,92,588.80",174330
04-Aug-2025,EQ,"794.50","797.20","786.55","794.00","796.80","795.70","792.44","875.45","680.00",8820724,"6,98,98,58,237.10",169176
01-Aug-2025,EQ,"795.70","801.00","792.00","796.55","792.95","794.00","795.49","889.10","680.00",15468391,"12,30,49,83,591.85",180563
31-Jul-2025,EQ,"795.10","803.80","792.55","801.65","796.00","796.55","798.31","889.10","680.00",11359112,"9,06,80,69,397.05",185101
30-Jul-2025,EQ,"798.95","803.40","796.20","799.20","800.00","801.65","800.75","889.10","680.00",8743723,"7,00,15,26,821.20",119582
29-Jul-2025,EQ,"796.20","800.00","793.10","797.15","798.85","799.20","797.21","889.10","680.00",7833759,"6,24,51,23,153.40",133563
28-Jul-2025,EQ,"806.55","808.95","796.00","806.55","796.55","797.15","801.77","889.10","680.00",7734158,"6,20,10,51,607.25",243443
