DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"1,347.00","1,352.90","1,334.00","1,345.50","1,352.80","1,346.80","1,341.32","1,500.00","1,187.60",18151993,"24,34,75,56,255.20",212763
16-Apr-2026,EQ,"1,352.00","1,366.90","1,340.20","1,348.10","1,343.90","1,345.50","1,351.63","1,500.00","1,187.60",24017236,"32,46,24,01,733.80",369800
15-Apr-2026,EQ,"1,358.00","1,364.80","1,338.00","1,351.10","1,347.00","1,348.10","1,348.45","1,500.00","1,187.60",23827473,"32,13,01,12,128.20",367877
13-Apr-2026,EQ,"1,304.90","1,357.00","1,296.70","1,321.90","1,347.00","1,351.10","1,336.01","1,500.00","1,187.60",30572141,"40,84,46,87,271.30",391182
10-Apr-2026,EQ,"1,289.00","1,324.00","1,288.50","1,281.30","1,322.80","1,321.90","1,317.23","1,500.00","1,187.60",18174755,"23,94,03,99,460.20",265455
09-Apr-2026,EQ,"1,299.90","1,308.00","1,275.90","1,309.20","1,283.50","1,281.30","1,287.04","1,500.00","1,187.60",22923062,"29,50,27,99,668.90",295814
08-Apr-2026,EQ,"1,310.00","1,333.50","1,292.40","1,245.50","1,309.10","1,309.20","1,307.02","1,500.00","1,187.60",25148651,"32,86,97,93,000.90",267068
07-Apr-2026,EQ,"1,229.00","1,250.40","1,216.60","1,231.40","1,248.50","1,245.50","1,235.01","1,500.00","1,187.60",25600557,"31,61,70,31,068.70",212038
06-Apr-2026,EQ,"1,213.00","1,234.40","1,200.50","1,215.80","1,228.60","1,231.40","1,218.09","1,500.00","1,187.60",10058414,"12,25,20,23,145.80",131870
02-Apr-2026,EQ,"1,196.00","1,222.10","1,187.60","1,212.70","1,216.50","1,215.80","1,204.91","1,500.00","1,187.60",20851722,"25,12,44,02,749.50",346186
01-Apr-2026,EQ,"1,228.10","1,234.00","1,210.00","1,205.90","1,213.00","1,212.70","1,219.58","1,500.00","1,200.40",25472333,"31,06,54,55,922.50",256306
30-Mar-2026,EQ,"1,216.50","1,222.60","1,200.40","1,233.80","1,211.80","1,205.90","1,211.37","1,500.00","1,200.40",23952775,"29,01,57,83,813.00",224335
27-Mar-2026,EQ,"1,256.00","1,260.90","1,230.10","1,259.70","1,237.90","1,233.80","1,241.91","1,500.00","1,218.10",23630905,"29,34,75,00,695.00",280968
25-Mar-2026,EQ,"1,258.90","1,272.90","1,254.40","1,251.20","1,258.40","1,259.70","1,262.48","1,500.00","1,218.10",17290030,"21,82,83,49,228.10",245636
24-Mar-2026,EQ,"1,237.10","1,253.90","1,223.70","1,222.70","1,252.60","1,251.20","1,242.48","1,500.00","1,218.10",20617782,"25,61,72,06,863.50",241682
23-Mar-2026,EQ,"1,226.60","1,234.90","1,218.10","1,245.40","1,225.00","1,222.70","1,225.36","1,500.00","1,218.10",17049534,"20,89,17,71,051.10",279421
20-Mar-2026,EQ,"1,258.40","1,274.00","1,241.70","1,250.10","1,249.80","1,245.40","1,256.05","1,500.00","1,240.10",16421006,"20,62,56,09,488.50",320542
19-Mar-2026,EQ,"1,267.60","1,285.90","1,243.70","1,289.30","1,259.70","1,250.10","1,258.87","1,500.00","1,240.10",14422899,"18,15,66,25,895.60",285591
18-Mar-2026,EQ,"1,286.00","1,297.10","1,270.80","1,288.70","1,292.00","1,289.30","1,287.83","1,500.00","1,240.10",12961135,"16,69,17,03,269.00",224259
17-Mar-2026,EQ,"1,278.90","1,294.40","1,273.00","1,272.90","1,287.00","1,288.70","1,285.58","1,500.00","1,240.10",22303102,"28,67,25,15,530.30",242007
16-Mar-2026,EQ,"1,255.00","1,276.80","1,240.10","1,254.80","1,267.60","1,272.90","1,261.00","1,500.00","1,240.10",22740688,"28,67,59,65,063.50",264944
13-Mar-2026,EQ,"1,251.90","1,262.30","1,248.70","1,266.50","1,255.00","1,254.80","1,254.83","1,500.00","1,208.00",17344394,"21,76,42,18,501.60",248517
12-Mar-2026,EQ,"1,275.70","1,280.50","1,258.30","1,294.60","1,269.90","1,266.50","1,270.55","1,500.00","1,208.00",19676187,"24,99,95,30,425.90",335143
11-Mar-2026,EQ,"1,300.00","1,306.50","1,290.90","1,311.90","1,292.00","1,294.60","1,297.44","1,500.00","1,208.00",13224259,"17,15,77,29,375.10",265729
10-Mar-2026,EQ,"1,287.60","1,315.00","1,285.60","1,278.40","1,312.80","1,311.90","1,304.25","1,500.00","1,208.00",19136143,"24,95,83,13,823.40",318391
09-Mar-2026,EQ,"1,272.70","1,282.70","1,251.10","1,313.40","1,275.00","1,278.40","1,271.54","1,500.00","1,208.00",16116652,"20,49,29,13,753.00",321194
06-Mar-2026,EQ,"1,339.00","1,357.60","1,310.40","1,357.60","1,315.10","1,313.40","1,322.85","1,500.00","1,204.15",22778852,"30,13,28,94,838.80",396209
05-Mar-2026,EQ,"1,368.90","1,370.80","1,347.60","1,365.40","1,353.30","1,357.60","1,356.94","1,500.00","1,204.15",17590491,"23,86,92,37,214.50",214379
04-Mar-2026,EQ,"1,326.00","1,376.00","1,326.00","1,374.00","1,368.50","1,365.40","1,355.31","1,500.00","1,204.15",20009132,"27,11,85,32,926.00",502432
02-Mar-2026,EQ,"1,355.00","1,379.20","1,355.00","1,378.90","1,374.80","1,374.00","1,369.59","1,500.00","1,204.15",16928683,"23,18,53,56,350.40",308886
27-Feb-2026,EQ,"1,400.00","1,402.20","1,376.70","1,404.90","1,379.40","1,378.90","1,385.66","1,500.00","1,200.10",15096898,"20,91,91,49,418.30",171296
26-Feb-2026,EQ,"1,405.10","1,410.00","1,392.10","1,400.50","1,401.60","1,404.90","1,403.62","1,500.00","1,200.10",27288792,"38,30,31,70,835.60",275171
25-Feb-2026,EQ,"1,391.80","1,407.40","1,388.20","1,384.80","1,398.10","1,400.50","1,399.92","1,500.00","1,200.10",16297015,"22,81,44,95,610.00",219690
24-Feb-2026,EQ,"1,400.90","1,400.90","1,382.30","1,399.40","1,385.50","1,384.80","1,388.50","1,500.00","1,200.10",18274784,"25,37,45,56,219.00",178572
23-Feb-2026,EQ,"1,400.00","1,408.30","1,395.30","1,394.50","1,399.00","1,399.40","1,400.86","1,500.00","1,200.10",10728445,"15,02,90,32,958.60",137169
20-Feb-2026,EQ,"1,388.50","1,403.70","1,384.00","1,388.80","1,394.00","1,394.50","1,396.03","1,500.00","1,200.10",10337877,"14,43,20,24,508.80",125352
19-Feb-2026,EQ,"1,408.50","1,412.30","1,384.80","1,408.20","1,388.70","1,388.80","1,394.99","1,500.00","1,200.10",14323091,"19,98,06,13,931.70",172043
18-Feb-2026,EQ,"1,410.10","1,412.30","1,398.90","1,407.50","1,406.00","1,408.20","1,403.95","1,500.00","1,200.10",4758071,"6,68,01,16,792.30",107958
17-Feb-2026,EQ,"1,406.20","1,413.60","1,393.60","1,411.60","1,405.00","1,407.50","1,404.65","1,500.00","1,200.10",11756187,"16,51,33,61,505.90",181342
16-Feb-2026,EQ,"1,404.00","1,414.00","1,400.50","1,414.60","1,413.00","1,411.60","1,408.85","1,500.00","1,200.10",5000042,"7,04,43,01,759.40",162024
